OBJECTID,HSISID,SCORE,DATE_,DESCRIPTION,TYPE,INSPECTOR,PERMITID,NAME,RESTAURANTOPENDATE,CITY,FACILITYTYPE
25137654,04092021735,97,2017-10-22T04:00:00Z,NA,Inspection,Karla Crowder,13405,THE CENTERLINE CAFE,2013/02/01 05:00:00+00,CARY,Food Stand
25115128,04092013943,96,2019-02-27T05:00:00Z,"*Notice* Effective January 1, 2019, the NC Food Code 3-501.16 (A)(2)(b)(ii) NOW requires equipment to be upgraded or replaced to maintain food at a temperature of 41 degrees F or less. If you have any questions/concerns, please feel free to call 919-868-6416 or email meghan.scott@wakegov.com

NOTE: Facility has 3 dial-top thermometers that are calibrated accurately. Recommend obtaining a digital thermometer for faster temperature assessment of foods delivered for lunches.",Inspection,Meghan Scott,13939,St. Raphael Hall Foodservice,2003/12/01 05:00:00+00,RALEIGH,Restaurant
25123164,04092021636,98.5,2019-03-04T05:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.",Inspection,Kaitlyn Yow,20554,KNIGHTDALE HIGH SCHOOL BASEBALL CONCESSIONS,2010/12/08 05:00:00+00,KNIGHTDALE,Food Stand
25128895,04092021737,90.5,2019-03-23T04:00:00Z,Opening check list is needed so that management is aware of deficiencies (such as No paper towels). Food temperature recorded upon delivery is needed.,Inspection,Angela Myers,15506,CORNER KICK CAFE,2013/02/20 05:00:00+00,CARY,Food Stand
25124786,04092021680,97.5,2019-04-24T04:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.
*Inspector Info: Patricia Sabby/Patricia.Sabby@wakegov.com/919-796-8053*",Inspection,Patricia Sabby,14839,WOLF VILLAGE C-STORE,2011/08/12 04:00:00+00,RALEIGH,Food Stand
25108274,04092013061,98,2019-05-14T04:00:00Z,"*NOTICE* AS OF JANUARY 1, 2019, THE NC FOOD CODE 3-501.16 (A)(2)(b)(ii) NOW REQUIRES EQUIPMENT TO BE UPGRADED OR REPLACED TO MAINTAIN FOOD AT A TEMPERATURE OF 41 DEGREES F OR LESS.",Inspection,Maria Powell,8851,PNC 318,1999/10/29 04:00:00+00,RALEIGH,Restaurant
25132003,04092030248,100,2019-05-30T04:00:00Z,Everything looks great!!!,Inspection,David Adcock,20741,BOJANGLES MOBILE FOOD UNIT (WCID #446),2013/03/15 04:00:00+00,CARY,Mobile Food Units
25119311,04092040323,99.5,2019-07-02T04:00:00Z,NA,Inspection,David Adcock,14641,Traveling Dogs (WCID #495),2014/08/26 04:00:00+00,CLAYTON,Pushcarts
25126835,04092040249,100,2019-07-16T04:00:00Z,Everything looks great!!!,Inspection,David Adcock,17399,ROLL DOGS EXPRESS (WCID #393),2010/10/08 04:00:00+00,FUQUAY VARINA,Pushcarts
25097677,04092440310,90.5,2019-07-26T04:00:00Z,Repair frayed and broken ropes on the climbing play structure on the 4th to 5th grades playground. (Priority repair needed) Repair broken spinner on the 4th to 5th grade playground. Replace missing cap on support column of play structure on the K-1 playground.,Inspection,Jason Dunn,4253,NA,NA,NA,NA
